,J [mm/day],Q [mm/day],ET [mm/day]
3/18/1993,3,1.42946648,0.673925344
3/19/1993,0,1.283027933,1.745105613
3/20/1993,0.75,1.211731844,0.941893377
3/21/1993,30,5.28151676,0.723992989
3/22/1993,5.75,4.357231844,1.153957664
3/23/1993,0,3.086648045,1.354917945
3/24/1993,0,2.560600559,1.282016318
3/25/1993,0.25,2.236349162,2.122346842
3/26/1993,0,2.005315642,2.335034352
3/27/1993,0,1.808396648,1.246052348
3/28/1993,1.5,1.678675978,0.953893918
3/29/1993,2,1.575502793,0.723282076
3/30/1993,5.75,1.600893855,1.225245703
3/31/1993,6.75,1.627667598,0.5279908
4/1/1993,0,1.523086592,1.895792607
4/2/1993,1.75,1.385899441,1.25668928
4/3/1993,10,1.606927374,0.212124396
4/4/1993,1.25,1.516550279,2.595150841
4/5/1993,14.75,3.10874581,1.776701716
4/6/1993,3.75,1.966298883,0.627366965
4/7/1993,12.5,3.791388268,1.462466508
4/8/1993,4.75,2.860340782,0.299254778
4/9/1993,13.5,6.508106145,1.78817828
4/10/1993,1.75,4.16252514,2.984728468
4/11/1993,9.75,3.907759777,0.290126637
4/12/1993,0,3.791664804,2.092065026
4/13/1993,0.25,3.130114525,1.058651407
4/14/1993,0,2.75027933,2.284793694
4/15/1993,0,2.424293296,3.869863408
4/16/1993,12,2.411472067,1.588012905
4/17/1993,15.25,6.041011173,1.723334628
4/18/1993,57.25,32.36384916,0.596813749
4/19/1993,0.25,10.91544134,2.287391312
4/20/1993,2,6.092446927,1.683465363
4/21/1993,6.5,4.709815642,1.179519996
4/22/1993,7.75,4.303081006,0.640217135
4/23/1993,4,5.001335196,2.072876308
4/24/1993,0,4.179670391,2.152171164
4/25/1993,6.5,4.56375419,0.446854838
4/26/1993,2,3.908388268,1.626404646
4/27/1993,0,3.404212291,1.478234721
4/28/1993,0,3.024276536,4.839718969
4/29/1993,0,2.674055866,4.669540282
4/30/1993,0,2.370318436,5.398569691
5/1/1993,0,2.124,2.276864711
5/2/1993,0.75,1.882231844,3.550446235
5/3/1993,0,1.690189944,3.741339156
5/4/1993,0,1.536385475,5.034699433
5/5/1993,0,1.418581006,4.756535981
5/6/1993,0,1.321340782,4.217299852
5/7/1993,0,1.242527933,4.066408836
5/8/1993,0,1.147173184,5.288978833
5/9/1993,0,1.106622905,1.851246029
5/10/1993,10,1.208765363,0.577965636
5/11/1993,0.25,1.116351955,3.41915765
5/12/1993,0,1.021173184,3.020812696
5/13/1993,7.5,0.989673184,4.688316763
5/14/1993,15.75,1.416167598,1.111402997
5/15/1993,25,3.363083799,3.040869992
5/16/1993,31,5.795346369,0.696846459
5/17/1993,13,7.463312849,1.124844203
5/18/1993,2.75,4.688673184,2.678318023
5/19/1993,5.25,3.769843575,4.13742656
5/20/1993,1.25,3.017639665,1.869142968
5/21/1993,3,2.765941341,3.716579132
5/22/1993,1.75,2.406997207,1.547425981
5/23/1993,1,2.153564246,4.2109823
5/24/1993,34.5,4.579039106,3.300541784
5/25/1993,0.5,6.129854749,0.712005773
5/26/1993,21.25,7.109497207,0.406285941
5/27/1993,5.5,6.884773743,0.450875275
5/28/1993,1,5.180782123,1.767943634
5/29/1993,8.25,4.194930168,2.526136768
5/30/1993,21.25,8.158826816,1.042473377
5/31/1993,2.5,5.628117318,3.968597535
6/1/1993,8.75,4.825131285,2.545895565
6/2/1993,6.25,4.111667598,3.312702514
6/3/1993,0,3.323513966,1.585866605
6/4/1993,0.25,3.016231844,3.978848605
6/5/1993,0,2.720388268,3.327679003
6/6/1993,0,2.420899441,7.247702634
6/7/1993,0,2.212164804,4.163062513
6/8/1993,0,2.078572626,6.299308053
6/9/1993,0.5,1.955513966,3.916544371
6/10/1993,10.75,1.959335196,3.651793238
6/11/1993,29.75,3.75297486,0.853506621
6/12/1993,0.5,3.467463687,3.605512338
6/13/1993,6.25,2.375044693,4.526687856
6/14/1993,18,4.325103352,1.608084468
6/15/1993,11.25,3.415902235,4.311106505
6/16/1993,8.75,5.574494413,2.190602846
6/17/1993,23.75,5.185558659,2.851838575
6/18/1993,2,8.020885475,3.006882412
6/19/1993,0,4.810047486,3.375802539
6/20/1993,0,3.800815642,4.150592476
6/21/1993,0,3.297092179,3.196857271
6/22/1993,0,2.929248603,5.163452296
6/23/1993,0,2.617592179,4.748082767
6/24/1993,0,2.356592179,4.272460922
6/25/1993,0,2.170558659,5.147688034
6/26/1993,6.25,2.172167598,2.740558441
6/27/1993,0.25,1.931606145,6.731387655
6/28/1993,0,1.73252514,7.201897446
6/29/1993,0,1.619648045,5.882281502
6/30/1993,0,1.510692737,5.813192047
7/1/1993,0,1.416192737,5.124587305
7/2/1993,1,1.337756983,5.051085204
7/3/1993,0.25,1.311863128,3.403331588
7/4/1993,0.5,1.238631285,2.973614932
7/5/1993,0,1.146167598,4.540585486
7/6/1993,0,1.086234637,4.578833494
7/7/1993,2.25,1.06202514,3.996228387
7/8/1993,21.5,1.200167598,3.054423163
7/9/1993,23,2.516606145,3.030914037
7/10/1993,14.75,1.760756983,2.228457113
7/11/1993,2.75,1.472430168,1.971436139
7/12/1993,0,1.183701117,4.980699108
7/13/1993,44.5,4.297449721,1.164020967
7/14/1993,7,6.627569832,2.735639126
7/15/1993,24.75,8.526946927,1.000743928
7/16/1993,10.75,5.624094972,2.269724845
7/17/1993,5,6.041337989,3.944179595
7/18/1993,41.25,8.337997207,1.054786116
7/19/1993,9,20.57618715,2.221325174
7/20/1993,2.75,6.917027933,2.644437853
7/21/1993,5.75,4.625120112,1.935536339
7/22/1993,0.75,3.383396648,3.426529585
7/23/1993,16.5,3.673231844,1.331405617
7/24/1993,8.75,3.069075419,3.991140199
7/25/1993,13.5,3.976793296,1.663508912
7/26/1993,17.75,3.683564246,2.161543937
7/27/1993,7,8.069053073,1.448911351
7/28/1993,17.5,5.029717877,5.257530519
7/29/1993,13.25,11.50034078,1.555312177
7/30/1993,2.5,6.326698324,3.775427328
7/31/1993,2.25,4.688044693,3.204076681
8/1/1993,0,3.655810056,2.186232154
8/2/1993,29,4.492458101,2.660989873
8/3/1993,1,5.392558659,3.368382914
8/4/1993,14.5,5.089424581,1.0361348
8/5/1993,0.75,4.700463687,2.916788158
8/6/1993,4.75,4.214061453,1.621794551
8/7/1993,10.5,4.19249162,1.975061888
8/8/1993,1.25,3.996452514,2.758281655
8/9/1993,31,12.06814525,0.973222116
8/10/1993,0.5,6.362069832,2.259194461
8/11/1993,47.5,22.34380726,1.318011577
8/12/1993,6.75,9.74996648,1.659082902
8/13/1993,0,6.189259777,4.350383534
8/14/1993,3,4.6845,4.21746551
8/15/1993,0,3.750636872,2.482451705
8/16/1993,0,3.095723464,5.522285873
8/17/1993,0,2.700955307,4.884324535
8/18/1993,0,2.364511173,3.499821434
8/19/1993,19,2.354304469,2.616798899
8/20/1993,13.25,4.836318436,3.444429476
8/21/1993,12.5,2.956877095,1.293715591
8/22/1993,4.5,4.317284916,0.95726845
8/23/1993,0.75,3.047706704,2.847983028
8/24/1993,0,2.724586592,1.838052105
8/25/1993,0,2.466100559,1.530280622
8/26/1993,0,2.261639665,2.898719243
8/27/1993,0,2.119600559,1.521248769
8/28/1993,0,1.97102514,3.47636723
8/29/1993,8,1.906768156,1.127112104
8/30/1993,1,1.885449721,4.189487575
8/31/1993,0,1.663416201,5.354232005
9/1/1993,0,1.535581006,5.329021852
9/2/1993,0,1.443243017,2.891062053
9/3/1993,0,1.373002793,1.911484976
9/4/1993,0,1.295094972,3.878383503
9/5/1993,0,1.225106145,2.493196966
9/6/1993,0,1.191041899,2.697065187
9/7/1993,14,1.344192737,1.636950168
9/8/1993,12.5,1.674377095,0.965636389
9/9/1993,49.25,14.07054469,0.498576483
9/10/1993,33.5,25.29294134,0.78621483
9/11/1993,6,9.730734637,2.893551446
9/12/1993,19,7.647888268,0.314952598
9/13/1993,9.25,8.773793296,1.31352045
9/14/1993,0.5,6.019944134,0.96719031
9/15/1993,3.75,4.769145251,0.21144954
9/16/1993,0.25,3.809564246,1.737439921
9/17/1993,0,3.23253352,0.769389061
9/18/1993,0,2.812324022,1.928217466
9/19/1993,0,2.456069832,1.453063677
9/20/1993,7.5,2.466326816,0.627414095
9/21/1993,11,3.077195531,1.490017891
9/22/1993,2.75,2.991117318,1.44477984
9/23/1993,0.25,2.616385475,1.856893701
9/24/1993,3.5,2.405388268,1.353274026
9/25/1993,2,2.375698324,2.582248785
9/26/1993,0,2.17573743,1.784024496
9/27/1993,0,2.06253352,1.181232812
9/28/1993,2.5,1.953175978,2.284527703
9/29/1993,10.25,2.100921788,0.700829352
9/30/1993,1.75,2.169804469,0.431432207
10/1/1993,9.5,2.019293296,0.529732945
10/2/1993,1.25,2.357446927,1.278816625
10/3/1993,13,2.277905028,0.964386954
10/4/1993,4.5,3.490768156,1.105636164
10/5/1993,23.75,7.249298883,0.512123933
10/6/1993,9,7.476687151,0.460795454
10/7/1993,8.75,8.350642458,1.523664061
10/8/1993,6.25,6.077061453,0.231885782
10/9/1993,8.5,5.020969274,0.881358568
10/10/1993,6.25,6.26626257,0.69370652
10/11/1993,2.5,4.700036313,0.209313985
10/12/1993,32.25,11.67191899,0.14245039
10/13/1993,0.5,9.789863128,0.100137533
10/14/1993,0,5.985703911,1.36554558
10/15/1993,0,4.583765363,0.957401646
10/16/1993,0,3.609477654,1.489255704
10/17/1993,0,3.177050279,1.554621165
10/18/1993,0,2.817,1.612392749
10/19/1993,0,2.505368715,1.438186249
10/20/1993,2.5,2.309932961,0.934177508
10/21/1993,0,2.140416201,1.395584087
10/22/1993,0,1.98228771,1.476918388
10/23/1993,0,1.84575419,1.39906935
10/24/1993,0,1.752511173,0.482043696
10/25/1993,0,1.654642458,0.360011052
10/26/1993,0.75,1.56826257,0.205533242
10/27/1993,0,1.49027933,0.307043028
10/28/1993,1.75,1.447642458,0.100443736
10/29/1993,0,1.375139665,0.344029707
10/30/1993,0,1.32528771,0.304901955
10/31/1993,0,1.261634078,0.3369225
11/1/1993,0,1.207709497,0.324098459
11/2/1993,2.25,1.177592179,0.291782537
11/3/1993,9.25,1.476402235,0.082215356
11/4/1993,0.5,1.315709497,0.733957745
11/5/1993,0.5,1.220656425,0.238324167
11/6/1993,0.5,1.187421788,0.278145155
11/7/1993,3.75,1.200846369,0.160453708
11/8/1993,1.25,1.205673184,0.252557427
11/9/1993,44.25,8.900446927,0.12260431
11/10/1993,11.75,5.61449162,0.696647078
11/11/1993,23.75,10.47396369,0.235287967
11/12/1993,31.75,12.30742458,0.492104174
11/13/1993,47.5,35.26589665,0.067122586
11/14/1993,12,22.00660894,0.15841856
11/15/1993,0,8.78847486,0.701780631
11/16/1993,0.25,5.687019553,0.575846618
11/17/1993,0,4.297751397,0.450282091
11/18/1993,0,3.433726257,0.362679803
11/19/1993,0,2.858782123,0.472337814
11/20/1993,0.25,2.451670391,0.510575266
11/21/1993,0,2.210731844,0
11/22/1993,0.25,1.994430168,0.325551178
11/23/1993,0.25,1.813248603,0.225273932
11/24/1993,3,1.72123743,0
11/25/1993,9.25,2.138103352,0.258440147
11/26/1993,0.5,1.912223464,0.19881401
11/27/1993,0,1.747231844,0.043322196
11/28/1993,0,1.59747486,0.04866409
11/29/1993,8,1.819583799,0.022266098
11/30/1993,4.25,2.656835196,0.366279888
12/1/1993,13.75,3.243544693,0.199366357
12/2/1993,9.5,4.855424581,0.119660101
12/3/1993,29.5,6.356689944,0.295852371
12/4/1993,18.5,25.1113324,0.372428736
12/5/1993,7,8.316527933,0.310694357
12/6/1993,52.25,14.59686872,0.295010284
12/7/1993,3.25,23.65157263,0.318765073
12/8/1993,68.75,39.39923464,0.454826126
12/9/1993,10.75,13.76230726,0.501703956
12/10/1993,3.75,8.581223464,0.508964856
12/11/1993,4.75,6.065497207,0.270567475
12/12/1993,71.5,39.41494693,0.080201249
12/13/1993,4.25,21.80300279,0
12/14/1993,38.25,19.29351117,0.071509754
12/15/1993,39.75,23.29803352,0.239476728
12/16/1993,12.5,21.14846648,0.121845044
12/17/1993,24.75,15.88970112,0.078658604
12/18/1993,61,34.65490223,0.134079171
12/19/1993,26.75,42.4437486,0.199960671
12/20/1993,6.25,12.97827654,0
12/21/1993,7.5,8.521667598,0.083354293
12/22/1993,38.5,39.55281285,0.17707215
12/23/1993,22.25,21.0947933,0.132637752
12/24/1993,0,11.01554749,0.069171217
12/25/1993,0,7.045391061,0
12/26/1993,0,5.153681564,0.090543637
12/27/1993,0,4.160413408,0.152778257
12/28/1993,14,7.303801676,0.157174383
12/29/1993,35.5,12.7993324,0.392639628
12/30/1993,40,22.5930419,0.156684442
12/31/1993,3.25,14.66356425,0.107237702
1/1/1994,17,8.583662011,0.109253995
1/2/1994,6.25,13.17542179,0.262026051
1/3/1994,20,10.8971648,0
1/4/1994,3.75,9.566874302,0.117023234
1/5/1994,18,11.95408659,0.123876936
1/6/1994,0.25,7.700656425,0.232740645
1/7/1994,1.75,5.684304469,0.112142804
1/8/1994,2.5,5.042187151,0.083306931
1/9/1994,5.75,6.550416201,0.119502182
1/10/1994,1,6.073139665,0.121073958
1/11/1994,10.25,6.121885475,0.132060744
1/12/1994,32.25,15.78411453,0.285091115
1/13/1994,8,13.12059218,0.528281338
1/14/1994,12.25,9.814952514,0.257040911
1/15/1994,2,7.25103352,0.027146259
1/16/1994,0,5.575877095,0.494451683
1/17/1994,0.75,4.512997207,0.123526087
1/18/1994,31.75,9.430692737,0.259181508
1/19/1994,6.25,7.444307263,0.273136248
1/20/1994,21.75,13.07295251,0.154042103
1/21/1994,20.5,11.39498045,0.306891899
1/22/1994,32.5,14.64302514,0.346720856
1/23/1994,50.25,52.32021788,0.711681233
1/24/1994,16.25,11.5757095,0.240876687
1/25/1994,37.75,30.08606983,0.486096111
1/26/1994,3,10.10363128,0.721525408
1/27/1994,23,9.983891061,0.383992129
1/28/1994,7,7.922941341,0.697542132
1/29/1994,24.25,9.451181564,0.291983608
1/30/1994,2.25,11.87758659,0.526664786
1/31/1994,7,7.350209497,0.379107193
2/1/1994,19.5,12.75946089,0.36708613
2/2/1994,0.25,7.718354749,0.384604732
2/3/1994,17.75,7.837893855,0.207759513
2/4/1994,3.75,9.124013966,0.922216853
2/5/1994,7,7.060248603,0.301473841
2/6/1994,9.5,6.67950838,0.312267267
2/7/1994,6.5,6.266589385,0.309376212
2/8/1994,11.5,6.703843575,0.192787641
2/9/1994,0.25,6.242405028,0.550294529
2/10/1994,16.25,5.51174581,0.812379283
2/11/1994,7.75,10.55981564,0.05067443
2/12/1994,0.25,6.316013966,0.073066549
2/13/1994,0,5.028536313,0.070758129
2/14/1994,0,4.076346369,0
2/15/1994,1,3.449212291,0
2/16/1994,13.75,4.112371508,0.193185802
2/17/1994,2.75,3.699628492,0.268905607
2/18/1994,8.25,4.300039106,0.048015849
2/19/1994,0.5,4.180952514,0.080503266
2/20/1994,2.25,3.60525419,0.023989018
2/21/1994,2.25,3.169910615,0.423585595
2/22/1994,0.25,2.929977654,0.057373921
2/23/1994,1.5,2.696430168,0
2/24/1994,0.25,2.378941341,0
2/25/1994,8.5,2.917885475,0.049168364
2/26/1994,7,8.445519553,0.295534714
2/27/1994,26.25,28.53206145,0.378763178
2/28/1994,13.5,20.26719553,0.324651493
3/1/1994,11.25,9.778650838,0.755298418
3/2/1994,1.25,9.43051676,1.316318739
3/3/1994,8.5,7.818511173,0.580786988
3/4/1994,3.25,5.994427374,0.568475536
3/5/1994,5,5.423857542,1.32933965
3/6/1994,16.5,5.536885475,0.584984105
3/7/1994,26.75,14.89972626,0.360341118
3/8/1994,15.25,13.86849721,0.664043605
3/9/1994,27,24.61484916,0.665988002
3/10/1994,0,9.523081006,1.295043377
3/11/1994,17.75,8.774622905,0.379450691
3/12/1994,35.25,17.25558939,0.615130164
3/13/1994,4.75,16.05911732,1.231687522
3/14/1994,29.5,14.20725419,0.888885748
3/15/1994,26.5,29.63139385,1.094291201
3/16/1994,4.5,9.776086592,0.813440216
3/17/1994,6.75,6.858301676,1.19960455
3/18/1994,67.25,34.44863128,0.39228667
3/19/1994,0.25,17.08748045,1.592664542
3/20/1994,0.75,7.918918994,1.651595949
3/21/1994,1.5,5.752860335,0.788986345
3/22/1994,24.75,10.24064246,0.502342175
3/23/1994,26.25,12.81723184,0.227089148
3/24/1994,37.5,19.08243855,1.857172428
3/25/1994,34,44.31446648,0.462456964
3/26/1994,0.25,10.24099441,2.90916771
3/27/1994,9.25,7.36725419,0.384892106
3/28/1994,19,12.04753073,0.457542891
3/29/1994,0,7.504843575,2.420029583
3/30/1994,18.25,9.637692737,0.594764003
3/31/1994,15,10.35414804,1.061876018
4/1/1994,44.25,28.63694413,0.500218289
4/2/1994,9,11.87132682,1.01568567
4/3/1994,49.25,28.88904469,0.330892442
4/4/1994,12,24.0239162,0.626936487
4/5/1994,21.25,11.18692458,0.765294515
4/6/1994,3.75,11.16653631,1.798205622
4/7/1994,27,14.14639106,0.50629931
4/8/1994,40,34.0786257,0.295548082
4/9/1994,22.25,14.87041341,0.824017641
4/10/1994,6.5,11.07568156,2.104001039
4/11/1994,0,7.961505587,3.801537571
4/12/1994,3.75,6.650120112,1.148884
4/13/1994,0,5.25378771,3.099775521
4/14/1994,0,4.251519553,2.884915432
4/15/1994,0,3.521689944,2.360809487
4/16/1994,0,3.130944134,0.961020439
4/17/1994,0,2.756715084,1.247927521
4/18/1994,0,2.425902235,2.075038716
4/19/1994,2.5,2.242432961,1.511907315
4/20/1994,5.75,2.238611732,1.759316847
4/21/1994,7,2.175888268,1.48652798
4/22/1994,5.5,2.219053073,2.176358531
4/23/1994,5,1.982388268,2.111725869
4/24/1994,2.75,1.947318436,1.259973717
4/25/1994,18.25,3.77776257,1.109029817
4/26/1994,0.25,3.596706704,4.272378837
4/27/1994,6.25,2.969597765,1.68684621
4/28/1994,0.5,2.591019553,1.787997428
4/29/1994,0,2.304351955,3.407981508
4/30/1994,0.25,2.110298883,4.389027053
5/1/1994,0,1.947444134,4.361052138
5/2/1994,0,1.798918994,4.880164497
5/3/1994,7.75,1.811815642,2.120178161
5/4/1994,2.75,1.820011173,1.508794621
5/5/1994,21.5,3.494689944,0.819794269
5/6/1994,1,2.659248603,2.896230472
5/7/1994,1,2.113717877,2.376464138
5/8/1994,0.75,1.914435754,3.260686433
5/9/1994,0.25,1.786625698,2.979359856
5/10/1994,0,1.716687151,1.293725307
5/11/1994,0,1.630030726,2.376753715
5/12/1994,4,1.613715084,2.42583181
5/13/1994,0,1.499731844,2.367390344
5/14/1994,13,1.486131285,3.791241099
5/15/1994,4.5,2.374013966,2.412246009
5/16/1994,4.75,1.885273743,0.334288276
5/17/1994,0,1.63651676,3.59561876
5/18/1994,0,1.498122905,2.304055682
5/19/1994,0,1.405206704,2.94065556
5/20/1994,0.75,1.376019553,0.437934879
5/21/1994,2.5,1.403899441,0.29010953
5/22/1994,3,1.392712291,1.234255271
5/23/1994,3,1.373681564,0.58405195
5/24/1994,7,1.631363128,0.464004981
5/25/1994,1.5,1.635863128,0.596930388
5/26/1994,2.5,1.591793296,1.134332165
5/27/1994,0,1.451589385,1.293139575
5/28/1994,0,1.356888268,2.86181936
5/29/1994,0,1.299293296,3.204740508
5/30/1994,0,1.240692737,5.007979197
5/31/1994,0,1.191695531,5.749364608
6/1/1994,3,1.204416201,2.469382877
6/2/1994,0.25,1.16627933,2.604440908
6/3/1994,40.5,5.335315642,1.413711194
6/4/1994,9.75,6.085030726,1.459626418
6/5/1994,3,3.676977654,3.713303493
6/6/1994,15,5.872298883,2.694186057
6/7/1994,11.25,7.192910615,1.323841217
6/8/1994,1.25,5.00852514,3.545576259
6/9/1994,0.25,3.934558659,2.378476647
6/10/1994,0,3.317505587,1.682654287
6/11/1994,0,2.85528771,4.062708559
6/12/1994,0,2.498832402,2.467018666
6/13/1994,0,2.225463687,5.713347141
6/14/1994,0,2.007527933,6.15787144
6/15/1994,0,1.84198324,5.69643214
6/16/1994,0,1.730740223,4.891067487
6/17/1994,0,1.616631285,5.045728627
6/18/1994,0.25,1.51277933,2.048871207
6/19/1994,7.75,1.621256983,1.110349672
6/20/1994,1,1.430421788,2.232767786
6/21/1994,69.5,19.36249441,0.937230947
6/22/1994,0,6.694592179,3.750796972
6/23/1994,0,4.020636872,5.455809245
6/24/1994,1.25,3.079810056,2.954243557
6/25/1994,0.25,2.567689944,1.385349964
6/26/1994,5.75,2.261765363,3.446932587
6/27/1994,0.5,2.117513966,2.197382707
6/28/1994,2,1.838740223,6.309721271
6/29/1994,0,1.683175978,4.093419231
6/30/1994,0,1.557150838,3.947454017
7/1/1994,0,1.446259777,3.323412203
7/2/1994,0.25,1.377276536,1.496729775
7/3/1994,0.25,1.303391061,2.437470367
7/4/1994,11.25,1.447617318,0.940252387
7/5/1994,8.25,1.531910615,2.710567258
7/6/1994,17.5,2.667645251,2.73778821
7/7/1994,0,1.633826816,4.717781738
7/8/1994,0,1.39872067,2.69659177
7/9/1994,0,1.276541899,4.30966956
7/10/1994,0.5,1.232648045,1.157785794
7/11/1994,0,1.182368715,5.280309858
7/12/1994,0.25,1.123994413,5.904558322
7/13/1994,0.25,1.077837989,6.093630331
7/14/1994,0.5,1.035578212,5.375438098
7/15/1994,1.75,1.044326816,3.487304034
7/16/1994,0,0.971446927,6.08171459
7/17/1994,0,0.928759777,5.745025782
7/18/1994,0,0.902840782,5.72597681
7/19/1994,0,0.879511173,4.795547398
7/20/1994,0,0.855879888,4.866489569
7/21/1994,2,0.870611732,1.831034024
7/22/1994,0.25,0.831167598,4.277583736
7/23/1994,0.75,0.788656425,4.1944893
7/24/1994,0.25,0.799139665,1.669924291
7/25/1994,0,0.760851955,2.191344222
7/26/1994,16.25,1.080402235,0.843967694
7/27/1994,8.75,1.224854749,5.155088362
7/28/1994,0,0.836798883,3.843201712
7/29/1994,0,0.766860335,3.123520262
7/30/1994,0,0.721910615,1.861563034
7/31/1994,6,0.76424581,1.441808692
8/1/1994,14.25,1.128494413,1.914901869
8/2/1994,15,1.713469274,0.807794943
8/3/1994,7.75,1.794494413,2.149896714
8/4/1994,3.5,1.98228771,4.152201933
8/5/1994,2,1.262162011,3.558045258
8/6/1994,0,1.082941341,3.020449221
8/7/1994,1.25,1.007497207,3.105092099
8/8/1994,0,0.924687151,2.974777581
8/9/1994,0,0.884740223,3.295313553
8/10/1994,10.25,1.017653631,0.297600721
8/11/1994,0.25,0.952667598,2.572880169
8/12/1994,0,0.876569832,2.129836297
8/13/1994,0,0.827673184,3.311742269
8/14/1994,0,0.80399162,2.510275064
8/15/1994,0,0.779354749,2.996248827
8/16/1994,4.25,0.767765363,1.610636294
8/17/1994,22.75,1.94327095,1.135838402
8/18/1994,8.5,1.327675978,1.592082514
8/19/1994,0.25,1.211128492,3.026658282
8/20/1994,1.25,1.040078212,1.569944099
8/21/1994,1.5,0.981,3.50637879
8/22/1994,1,0.935170391,4.180580586
8/23/1994,8.75,1.045231844,2.848902061
8/24/1994,24.5,2.423212291,1.650748329
8/25/1994,3.5,2.564874302,3.49593671
8/26/1994,12.75,2.208645251,2.226181856
8/27/1994,8.5,2.929952514,2.860791118
8/28/1994,0.5,2.637351955,2.539363406
8/29/1994,1,2.046117318,1.880502898
8/30/1994,0,1.821217877,3.432217766
8/31/1994,15.5,2.295377095,0.229669233
9/1/1994,5.75,4.156114525,1.693050977
9/2/1994,0,2.514368715,4.622111839
9/3/1994,9.75,2.544234637,0.923085195
9/4/1994,12,3.825,1.275589132
9/5/1994,0.25,3.413463687,2.770100556
9/6/1994,16.5,4.858340782,1.187815756
9/7/1994,3.25,4.478581006,2.358128854
9/8/1994,14.5,4.561642458,1.512288349
9/9/1994,31.25,12.59979888,1.501281829
9/10/1994,6.5,10.33365922,1.340443931
9/11/1994,20.5,8.46452514,1.809026803
9/12/1994,34.5,23.02841061,0.903502069
9/13/1994,1,12.17717598,1.860634086
9/14/1994,29.5,16.10507263,0.246948196
9/15/1994,16.25,13.91090782,0.711270279
9/16/1994,0.5,10.67284358,2.415809837
9/17/1994,0,6.524924581,2.27742516
9/18/1994,1.75,4.829329609,1.111321634
9/19/1994,20.25,7.089083799,0.976193525
9/20/1994,8.25,6.080958101,1.557622502
9/21/1994,1.75,5.646821229,1.228269161
9/22/1994,0,4.516340782,1.15399308
9/23/1994,0.75,3.801519553,0.730221215
9/24/1994,8,3.406148045,1.324483754
